SHA,ETAG,Author,Username,Additions,Deletions,Total,Date
787c8dbf749e7574b559e1b223f9dcb0bec4406a,"W/""bdaf46581e364bc8fc6bedf52dfb14a03406386e11832713f9fff813d21d6e82""",Oleg Grenrus,phadej,12.0,3.0,15.0,"Sun, 29 Sep 2019 21:07:03 GMT"
eeb6b429365ca9b809295d8bc83f8cb968699b70,"W/""2ac43821a010a91065e98b3f9c408cf339883e8a3927135eb3d1a36d6057949c""",Oleg Grenrus,phadej,6.0,1.0,7.0,"Sun, 29 Sep 2019 21:03:12 GMT"
7c0070bbd7dae2a31a61884deb7f02a67fe2ecfc,"W/""15a9e9d9363dd3c29599958c976a2977eefb5c9879279cc7e0e323ad36a12652""",Oleg Grenrus,phadej,42.0,3.0,45.0,"Sun, 29 Sep 2019 21:01:54 GMT"
fb2aeb6968fed63c29b952d2aa512b91337f7a9e,"W/""12c6b454542b2a5e6946fc8e76252c938d83b9a67382b2ffdb092eb6577c5341""",Scott Fleischman,scott-fleischman,24.0,10.0,34.0,"Sun, 29 Sep 2019 20:58:43 GMT"
0ce3767d41c3a9ed1e548ef7aeb1fdb8543d0a11,"W/""890d1cf6ae757beba0ff466b1e5b6e0ab74252c50904011b9a44c12f43d273bc""",Domen Kožar,domenkozar,42.0,3.0,45.0,"Thu, 26 Sep 2019 08:32:48 GMT"
fd2f4ad93875bbe8d4ef35a262d4d20b7ce37ddd,"W/""0ded2aca7811cf88b17b558279be41f904303189ab730bbb563d51531e454816""",Oleg Grenrus,phadej,197.0,339.0,536.0,"Fri, 13 Sep 2019 12:40:39 GMT"
e850e83b104abfefb1fbd0f1317f973252029b90,"W/""ba17edc1956670e18aaf1811319f84622c344e2b13fe62e673da775622dbb2a8""",Oleg Grenrus,phadej,197.0,339.0,536.0,"Fri, 13 Sep 2019 11:33:50 GMT"
00310c34a9cc2c2cd5523ae42288b68f7e200f93,"W/""5457aca84fe8991510e94876b71481434efed8ca222692162ab0ee0bf704ad37""",Attila Domokos,adomokos,2.0,5.0,7.0,"Thu, 27 Jun 2019 06:06:22 GMT"
6a44ccc135bbd69386f6adfd2c51ad3970aedc2e,"W/""5f3766ee0f432681d4576ca3da57e11cfae0d21fa5f26982707fd13728d550fa""",Oleg Grenrus,phadej,34.0,26.0,60.0,"Wed, 05 Jun 2019 08:54:07 GMT"
7d06a0fc02460889fbfc57a5b4d721d647775fe5,"W/""42d2e4ff967e825e4ebef57caf80c37892b1c2b7a7781417ad607722a5b9ca9c""",Ivan Malison,IvanMalison,34.0,26.0,60.0,"Wed, 05 Jun 2019 04:20:21 GMT"
6ab81aabbe9efd259308909656a6c53887333523,"W/""058bf52eea54120354042e3abf19cc059ce20c4c1acebde748b35e7ea8314d9b""",Oleg Grenrus,phadej,47.0,8.0,55.0,"Fri, 31 May 2019 13:26:34 GMT"
334d451b55c1b9925bd576faa26b8fc478759f77,"W/""b8f6286594c5f63280d6a2efbeef0e388d11664efea97af29ca409189293a495""",Oleg Grenrus,phadej,47.0,8.0,55.0,"Fri, 31 May 2019 10:07:52 GMT"
0247582839ce23b22acdc07bb1a52b6dc98c9a39,"W/""49a82db93bebd996137ad8c8db981ba1fa8577db8191caf33c8f733dff42e3b2""",Oleg Grenrus,phadej,37.0,31.0,68.0,"Fri, 31 May 2019 08:15:56 GMT"
df3cea10280d58b34af3c6f8299a6d7bfd3cefe7,"W/""b1fd26000c9219dc2f66c0cfdccd9fffabc2a057102c1de9693a253d49bf091c""",Oleg Grenrus,phadej,421.0,18.0,439.0,"Fri, 31 May 2019 07:48:04 GMT"
33b093c565a7fe27db30671c0f190344411b500d,"W/""e17f2abcb6d3fc5659f9c6a916978ad7632642b7587982d8089668ba2d6a9607""",Oleg Grenrus,phadej,7.0,9.0,16.0,"Thu, 30 May 2019 22:29:26 GMT"
277f9b6c8080d91b7c6e11c0246c41c46e8a17bf,"W/""24c60e471eada9e3ed44c5696cee9f8de16c7e29e343f1904c588130334feb81""",Oleg Grenrus,phadej,2.0,0.0,2.0,"Thu, 30 May 2019 18:38:46 GMT"
e870a84ea439fa4664614533c06b343e4a74d3f0,"W/""2392b7bb4ecd62b940a9e026e8e80d2bf7aeda16ecf854820d4a03ae2d914104""",Todd Mohney,toddmohney,2.0,2.0,4.0,"Thu, 30 May 2019 18:38:46 GMT"
6f916af176f2f4ce5aa355e6934e78899ce9fb1b,"W/""caedfcc585e6fad58db54867bc226720fce28d50859464155aba58f2ede4d66a""",Todd Mohney,toddmohney,128.0,0.0,128.0,"Thu, 30 May 2019 18:38:46 GMT"
